LATITUDE,LONGITUDE,AGE,SN
597,33.3751,-110.939,1000.0,< 5
598,33.3548,-110.986,1000.0,< 5
599,33.3627,-110.961,1000.0,< 5
600,33.3548,-110.986,1000.0,< 5
601,33.372,-110.93799999999999,1000.0,< 5
602,33.3546,-110.986,1000.0,< 5
603,33.3546,-110.986,1000.0,< 5
604,33.3866,-110.94,1000.0,< 5
605,33.3578,-110.95700000000001,1000.0,< 5
606,33.3866,-110.94,1000.0,< 5
607,33.3555,-110.956,1000.0,< 5
608,33.3608,-110.965,1000.0,< 5
609,33.3693,-110.98299999999999,1000.0,< 5
610,33.3608,-110.965,1000.0,11
611,33.3448,-110.90100000000001,1000.0,< 5
612,33.3053,-110.928,1000.0,< 5
613,33.3431,-110.902,1000.0,< 5
614,33.3431,-110.902,1000.0,< 5
615,33.3527,-110.85,1000.0,< 5
616,33.3618,-110.87799999999999,1000.0,< 6
617,33.3531,-110.85,1000.0,< 5
618,33.3542,-110.98700000000001,1000.0,< 5
619,33.3542,-110.98700000000001,1000.0,< 5
620,33.3697,-110.93700000000001,1000.0,< 5
621,33.3697,-110.93700000000001,1000.0,< 5
622,33.3586,-110.95299999999999,1000.0,< 5
623,33.3527,-110.97399999999999,1000.0,< 5
624,31.8867,-111.24,172.2,< 5
625,31.9118,-111.15899999999999,1000.0,< 5
626,31.9315,-111.15799999999999,1000.0,< 5
627,31.9601,-111.22200000000001,1000.0,< 5
628,31.8931,-111.115,1000.0,< 5
629,31.9035,-111.132,1000.0,< 5
630,31.9314,-111.15100000000001,1000.0,< 5
631,31.8962,-111.12100000000001,1000.0,< 5
632,31.8838,-111.197,1000.0,< 5
633,31.9068,-111.101,1000.0,< 5
634,31.9,-111.09200000000001,1000.0,< 5
635,31.9092,-111.1,1000.0,< 5
636,31.9706,-111.145,1000.0,< 5
637,31.9537,-111.164,1000.0,< 5
638,31.8942,-111.117,1000.0,< 5
639,31.9033,-111.134,1000.0,< 5
640,31.9423,-111.13799999999999,1000.0,< 5
641,31.9513,-111.14,1000.0,< 5
642,31.9609,-111.14299999999999,1000.0,< 5
643,31.9583,-111.212,1000.0,< 5
644,31.9991,-111.073,59.4,< 5
645,31.9066,-111.101,1000.0,< 5
646,31.9012,-111.094,1000.0,< 5
647,31.9007,-111.094,1000.0,< 5
648,31.9989,-111.132,58.9,< 5
649,31.94,-111.155,1000.0,< 5
650,31.9167,-111.208,166.0,< 5
651,31.8818,-111.23899999999999,172.2,< 5
652,31.9418,-111.20100000000001,1000.0,< 5
653,31.8416,-111.24799999999999,75.8,< 5
654,33.1169,-110.979,1000.0,< 5
655,33.1435,-110.90100000000001,1000.0,< 5
656,33.1435,-110.90100000000001,1000.0,< 5
657,41.7833,-109.0,1.95,2
658,41.7833,-109.0,1.95,1
659,41.7833,-109.0,1.95,3.9
660,41.7833,-109.0,1.95,5.2
661,41.7833,-109.0,1.95,5.5
662,41.7833,-109.0,1.95,3.7
663,41.7833,-109.0,1.95,4
664,41.7833,-109.0,1.95,5
665,41.7833,-109.0,1.95,3.3
666,41.7833,-109.0,1.95,3
667,41.7833,-109.0,1.95,3.9
668,41.7833,-109.0,1.95,5
669,41.7833,-109.0,1.95,5
670,41.7833,-109.0,1.95,4.1
671,41.7833,-109.0,1.95,6
672,41.7833,-109.0,1.95,5
