LATITUDE,LONGITUDE,AGE,CU
30.861,141.314,6.148,118.926
27.5,140.5,-3.6e-05,168.0
29.1521,140.70600000000002,28.45,15.7
31.47,140.03,1.305,117.5
31.875,141.227,46.0,68.0
31.875,141.227,46.0,52.0
34.08,139.52,-0.000246,137.0
31.3132,143.4,158.25,62.21
34.75,139.42,1.305,253.0
31.8742,141.227,12.8,40.0
34.75,139.42,1.305,104.0
34.15,139.55,-0.000198,130.0
34.75,139.42,1.305,307.0
34.75,139.42,1.305,132.0
16.35,145.67,0.005,62.0
16.35,145.67,0.005,55.0
16.35,145.67,0.005,57.0
16.35,145.67,0.005,61.0
16.35,145.67,0.005,86.0
16.35,145.67,0.005,59.0
16.35,145.67,0.005,74.0
31.1059,140.888,29.22,71.0
32.3994,140.418,28.92,99.0
32.3994,140.418,28.95,85.0
32.3994,140.418,29.0,67.0
32.3994,140.418,29.1,62.0
32.3994,140.418,30.3,129.0
31.1059,140.888,29.47,118.0
31.1059,140.888,29.6,115.0
32.3994,140.418,10.5,107.0
32.3994,140.418,28.0,161.0
31.1059,140.888,29.77,117.0
31.1059,140.888,29.88,93.0
31.1059,140.888,30.1,117.0
31.1059,140.888,30.27,87.0
32.3994,140.418,28.22,169.0
32.3994,140.418,28.35,102.0
31.1059,140.888,23.5,86.0
30.921999999999997,140.004,2.35,7.0
30.921999999999997,140.004,3.1,8.0
30.921999999999997,140.004,3.44,55.0
30.921999999999997,140.004,4.2,98.0
30.9109,139.83700000000002,0.15,6.0
30.9109,139.83700000000002,0.26,26.0
30.9165,139.87,0.04,11.0
30.9165,139.87,0.06,24.0
30.9165,139.87,0.29,14.0
30.9165,139.87,0.92,59.0
32.3757,140.749,24.2,100.0
32.3757,140.749,27.25,160.0
32.3998,140.381,0.65,125.0
32.3994,140.418,2.7,64.0
32.3994,140.418,7.7,78.0
32.3757,140.749,27.4,152.0
32.3757,140.749,27.8,101.0
32.3757,140.749,28.08,65.0
31.1059,140.888,28.64,90.0
31.1059,140.888,29.17,83.0
31.1059,140.888,30.9,56.0
32.3994,140.418,29.5,53.0
32.3994,140.418,30.9,247.0
31.1057,140.888,0.55,172.0
32.3994,140.418,11.4,106.0
32.3994,140.418,12.7,125.0
32.3994,140.418,25.5,107.0
31.1059,140.888,29.93,27.0
31.1059,140.888,29.98,140.0
31.1059,140.888,30.0,89.0
31.1059,140.888,30.03,96.0
31.1059,140.888,30.06,122.0
31.1059,140.888,30.47,34.0
32.3994,140.418,28.52,113.0
32.3994,140.418,28.72,78.0
31.1059,140.888,27.15,151.0
31.1059,140.888,28.2,143.0
30.921999999999997,140.004,0.15,8.0
30.921999999999997,140.004,2.71,19.0
30.921999999999997,140.004,2.89,11.0
30.921999999999997,140.004,2.98,10.0
30.921999999999997,140.004,3.19,32.0
30.921999999999997,140.004,3.63,24.0
30.9154,139.844,0.01,13.0
30.9161,139.844,0.1,14.0
30.9109,139.83700000000002,0.43,61.0
30.9165,139.87,0.01,17.0
30.9165,139.87,0.02,17.0
30.9165,139.87,0.07,11.0
30.9165,139.87,0.94,43.0
32.3757,140.749,27.1,120.0
32.3998,140.381,0.44,111.0
32.3998,140.381,0.75,148.0
32.3998,140.381,0.77,157.0
32.3998,140.381,0.78,152.0
32.3998,140.381,0.8,138.0
32.3998,140.381,0.9,57.0
32.3998,140.381,0.91,36.0
32.3994,140.418,6.2,85.0
32.3994,140.418,6.7,118.0
32.3994,140.418,7.4,104.0
31.1059,140.888,28.6,74.0
31.1059,140.888,28.9,66.0
31.1059,140.888,30.59,39.0
31.1059,140.888,30.85,56.0
32.3994,140.418,28.88,93.0
31.1057,140.888,0.42,66.0
31.1057,140.888,0.49,35.0
32.3994,140.418,26.1,105.0
31.1059,140.888,30.04,120.0
31.1059,140.888,30.08,69.0
31.1059,140.888,30.14,61.0
32.3994,140.418,28.2,95.0
32.3994,140.418,28.74,91.0
31.1059,140.888,27.6,143.0
30.9161,139.844,0.04,33.0
30.9165,139.87,0.12,50.0
30.9165,139.87,0.92,130.0
32.3757,140.749,0.01,58.0
32.3757,140.749,0.04,50.0
32.3757,140.749,0.25,46.0
30.9165,139.87,0.96,59.0
32.3998,140.381,0.5,51.0
32.3998,140.381,0.68,101.0
32.3998,140.381,0.82,54.0
32.3994,140.418,3.2,73.0
32.3994,140.418,7.5,96.0
32.3757,140.749,27.85,87.0
31.1059,140.888,28.85,73.0
31.1059,140.888,28.95,82.0
31.1059,140.888,29.0,74.0
32.3994,140.418,29.9,52.0
31.1059,140.888,29.63,90.0
31.1057,140.888,0.75,66.0
31.1059,140.888,29.85,103.0
31.1059,140.888,29.97,75.0
32.3994,140.418,28.28,124.0
32.3994,140.418,28.56,111.0
32.3994,140.418,28.67,89.0
32.3994,140.418,28.8,64.0
31.1059,140.888,24.95,80.0
31.1059,140.888,28.15,144.0
32.3757,140.749,28.7,60.0
30.921999999999997,140.004,0.1,6.0
30.9154,139.844,0.02,21.0
30.9161,139.844,0.02,40.0
30.9154,139.844,0.02,31.0
30.9161,139.844,0.07,86.0
30.9109,139.83700000000002,0.28,88.0
32.3998,140.381,0.32,26.0
32.3998,140.381,1.0,27.0
32.3998,140.381,2.39,81.0
32.3994,140.418,6.9,114.0
32.3757,140.749,28.0,112.0
32.3757,140.749,28.28,71.0
32.3757,140.749,28.58,37.0
31.1059,140.888,29.27,73.0
31.1059,140.888,30.5,37.0
31.1059,140.888,30.63,53.0
32.3994,140.418,30.7,84.0
31.1059,140.888,29.52,98.0
31.1057,140.888,0.5,78.0
32.3994,140.418,24.9,79.0
31.1057,140.888,0.8,18.0
31.1059,140.888,25.75,112.0
31.1059,140.888,28.35,113.0
31.1059,140.888,28.4,90.0
30.921999999999997,140.004,3.12,19.0
30.921999999999997,140.004,3.28,38.0
30.921999999999997,140.004,4.17,137.0
30.921999999999997,140.004,4.23,133.0
30.9161,139.844,0.08,8.0
30.9109,139.83700000000002,0.55,40.0
30.9109,139.83700000000002,0.94,23.0
30.9165,139.87,0.19,26.0
30.9165,139.87,0.87,56.0
32.3757,140.749,26.7,100.0
32.3757,140.749,27.18,177.0
32.3998,140.381,0.12,42.0
32.3757,140.749,27.5,181.0
32.3757,140.749,27.55,112.0
31.1059,140.888,28.72,90.0
31.1059,140.888,29.29,88.0
31.1059,140.888,29.3,50.0
32.3994,140.418,28.98,75.0
31.1057,140.888,0.4,20.0
31.1059,140.888,29.4,146.0
31.1059,140.888,29.42,156.0
31.1059,140.888,29.5,21.0
32.3994,140.418,22.6,103.0
31.1059,140.888,29.67,132.0
31.1059,140.888,15.1,226.0
31.1059,140.888,29.73,100.0
31.1059,140.888,29.8,80.0
