LATITUDE,LONGITUDE,AGE,CU
15.2467,120.363,1.3,20.0
15.25,120.367,1.3,24.0
15.2617,120.16799999999999,1.3,18.0
15.0342,120.45100000000001,1.3,24.0
15.15,120.35,1.3,34.0
15.15,120.35,1.3,39.0
15.15,120.35,1.3,32.0
20.053,117.419,0.00081,41.0
20.053,117.419,0.0018100000000000002,36.0
20.053,117.419,0.00251,36.0
20.053,117.419,0.00389,35.0
20.053,117.419,0.0042899999999999995,30.0
20.053,117.419,0.00495,34.0
20.053,117.419,0.0053,34.0
20.053,117.419,0.0054600000000000004,32.0
20.053,117.419,0.008790000000000001,31.0
20.053,117.419,0.01255,31.0
20.053,117.419,0.012629999999999999,32.0
20.053,117.419,0.012709999999999999,32.0
20.053,117.419,0.01434,33.0
20.053,117.419,0.00098,36.0
20.053,117.419,0.00373,36.0
20.053,117.419,0.0045899999999999995,35.0
20.053,117.419,0.0061600000000000005,32.0
20.053,117.419,0.00896,35.0
20.053,117.419,0.01184,38.0
20.053,117.419,0.01215,34.0
20.053,117.419,0.0128,32.0
20.053,117.419,0.013609999999999999,28.0
20.053,117.419,0.01408,32.0
20.053,117.419,0.00029,35.0
20.053,117.419,0.0011099999999999999,36.0
20.053,117.419,0.00286,37.0
20.053,117.419,0.007090000000000001,31.0
20.053,117.419,0.00743,30.0
20.053,117.419,0.00933,33.0
20.053,117.419,0.00949,35.0
20.053,117.419,0.00968,34.0
20.053,117.419,0.010020000000000001,32.0
20.053,117.419,0.01089,34.0
20.053,117.419,0.01289,33.0
20.053,117.419,0.01305,33.0
20.053,117.419,0.01426,35.0
20.053,117.419,0.01439,32.0
20.053,117.419,0.00199,35.0
20.053,117.419,0.0026899999999999997,34.0
20.053,117.419,0.0032,32.0
20.053,117.419,0.00355,35.0
20.053,117.419,0.00448,33.0
20.053,117.419,0.00565,34.0
20.053,117.419,0.00773,31.0
20.053,117.419,0.0114,35.0
20.053,117.419,0.012,35.0
20.053,117.419,0.013130000000000001,35.0
20.053,117.419,0.01317,36.0
20.053,117.419,0.013369999999999998,32.0
20.053,117.419,0.013919999999999998,32.0
20.053,117.419,0.00216,37.0
20.053,117.419,0.00233,36.0
20.053,117.419,0.00336,34.0
20.053,117.419,0.00606,32.0
20.053,117.419,0.0069,35.0
20.053,117.419,0.007209999999999999,31.0
20.053,117.419,0.01037,35.0
20.053,117.419,0.01052,35.0
20.053,117.419,0.0116,39.0
20.053,117.419,0.01175,38.0
20.053,117.419,0.011909999999999999,36.0
20.053,117.419,0.01229,33.0
20.053,117.419,0.01329,33.0
20.053,117.419,0.01369,31.0
20.053,117.419,0.013859999999999999,29.0
20.053,117.419,0.00045,35.0
20.053,117.419,0.00062,35.0
20.053,117.419,0.00147,35.0
20.053,117.419,0.004070000000000001,32.0
20.053,117.419,0.00656,33.0
20.053,117.419,0.00827,35.0
20.053,117.419,0.00843,30.0
20.053,117.419,0.00915,35.0
20.053,117.419,0.0124,33.0
20.053,117.419,0.0012900000000000001,40.0
20.053,117.419,0.007559999999999999,34.0
20.053,117.419,0.00811,33.0
20.053,117.419,0.01105,35.0
20.053,117.419,0.01157,35.0
20.053,117.419,0.01209,32.0
20.053,117.419,0.01223,32.0
20.053,117.419,0.012490000000000001,34.0
20.053,117.419,0.01296,32.0
20.053,117.419,0.01345,32.0
20.053,117.419,0.01415,32.0
20.053,117.419,0.0048200000000000005,29.0
20.053,117.419,0.00512,33.0
20.053,117.419,0.00581,33.0
20.053,117.419,0.00633,33.0
20.053,117.419,0.006690000000000001,31.0
20.053,117.419,0.00799,33.0
20.053,117.419,0.0086,33.0
20.053,117.419,0.01018,31.0
20.053,117.419,0.01072,35.0
20.053,117.419,0.013519999999999999,30.0
20.053,117.419,0.01378,33.0
20.053,117.419,0.013980000000000001,35.0
33.8,134.2,158.25,11.0
15.5717,116.15799999999999,5.855,41.8
33.0,130.0,32.75,26.0
35.35,138.73,-0.000302,52.0
34.8,136.0,105.5,2.0
34.5,131.8,60.65,16.0
15.5717,116.15799999999999,5.855,38.5
35.0,132.0,8.04e-05,68.0
33.0,130.0,32.75,27.0
33.0,130.0,32.75,14.0
33.5,130.5,105.5,8.0
32.75,130.3,-1.6e-05,10.0
25.48,122.1,3.95,33.8
15.13,120.35,0.000558,10.18
24.83,121.33,14.15,62.0
35.5,136.8,173.55,49.0
34.8,136.0,105.5,2.0
0.85,124.7,13.0,21.0
35.38,138.7,0.0055,227.0
35.8,137.9,92.7,5.0
24.8,121.17,14.15,55.0
24.8,121.17,14.15,69.0
32.6,129.4,11.5,43.4
25.48,122.1,1.3,12.7
33.5,130.5,105.5,14.0
35.0,132.0,8.04e-05,36.0
32.75,130.3,-1.7e-05,11.0
35.35,138.73,-0.000302,196.0
35.4,133.0,13.8,22.0
26.22,125.0,14.15,67.0
34.5,131.8,60.65,59.0
32.2,130.3,158.25,34.0
32.6,129.4,11.5,21.6
24.8,121.17,14.15,48.0
31.0,130.0,12.8,30.0
32.6,129.4,11.5,47.8
34.8,136.0,105.5,2.0
25.03,121.67,12.8,36.0
34.5,131.8,60.65,0.4
25.03,121.67,12.8,28.0
33.0,130.0,32.75,31.0
35.2,137.0,105.5,10.0
25.48,122.1,1.3,36.7
15.13,120.35,-1.8e-05,96.0
15.5717,116.15799999999999,5.855,43.4
25.0,118.9,82.55,1.39
34.5,131.8,60.65,25.0
32.6,129.4,11.5,33.1
34.0,130.0,1.305,6.0
23.85,120.76700000000001,1.305,39.5
35.0,136.0,275.0,89.0
35.35,138.73,-0.000302,61.0
35.35,138.73,-0.000302,74.0
31.0,130.0,12.8,67.0
33.5,130.5,105.5,5.0
35.38,138.7,0.0555,134.0
33.0,130.0,32.75,29.0
24.83,121.33,14.15,87.0
34.0,130.0,1.305,26.0
32.6,129.4,11.5,15.0
32.6,129.4,11.5,39.7
23.07,120.38,14.15,54.0
32.2,130.3,158.25,50.4
32.6,129.4,11.5,31.5
33.5,130.5,105.5,36.0
33.0,130.0,32.75,34.0
35.35,138.73,-0.000302,164.0
32.6,129.4,11.5,50.0
33.5,130.5,105.5,2.0
24.83,121.33,14.15,51.0
34.8,136.0,105.5,2.0
34.5,131.8,60.65,1.0
35.35,138.73,-0.000302,175.0
35.35,138.73,-0.000302,69.0
32.6,129.4,11.5,45.1
32.6,129.4,11.5,38.7
32.6,129.4,11.5,33.0
32.6,129.4,11.5,22.7
32.6,129.4,11.5,29.0
32.6,129.4,11.5,47.2
35.5,136.5,1.305,16.0
23.85,120.76700000000001,1.305,62.0
35.2,134.6,1.305,4.5
31.0,130.0,12.8,50.0
35.38,138.7,0.0055,185.0
32.6,129.4,11.5,24.0
25.0,120.0,1.305,33.1
34.5,131.8,60.65,8.0
15.13,120.35,-1.8e-05,31.0
35.4,137.2,105.5,1.0
24.83,121.33,14.15,44.0
25.48,122.1,3.95,49.8
31.0,130.0,12.8,31.0
32.6,129.4,11.5,27.2
35.0,136.0,275.0,53.0
24.82,121.1,14.15,59.0
35.2,134.6,1.305,12.1
35.4,133.0,13.8,18.0
34.8,136.0,105.5,23.0
33.5,134.0,158.25,71.0
32.6,129.4,11.5,37.8
32.6,129.4,11.5,66.7
15.13,120.35,0.0035329999999999997,32.0
15.1667,120.323,-1.8e-05,84.0
25.93,123.68,32.75,77.3
32.2,130.3,158.25,34.0
34.5,131.8,60.65,37.0
24.83,121.33,14.15,41.0
24.8,121.17,11.0,78.0
34.5,131.8,60.65,3.0
25.48,122.1,3.95,32.9
25.93,123.68,3.95,72.8
25.03,121.67,12.8,57.0
25.0,124.0,0.0049,37.0
34.7,135.6,275.0,22.0
35.0,136.0,275.0,100.0
33.0,130.0,32.75,31.0
35.0,136.0,275.0,44.0
32.8,131.5,158.25,32.7
33.5,134.0,158.25,12.0
35.0,132.0,8.04e-05,49.0
32.75,130.3,-1.8e-05,10.0
35.0,132.0,8.04e-05,104.0
23.58,119.5,12.8,69.0
35.35,138.73,-0.000302,179.0
35.5,136.8,173.55,48.0
22.97,121.3,12.8,33.0
35.361,138.72799999999998,1.305,88.0
24.83,121.33,14.15,35.0
25.15,121.5,3.95,91.6
35.0,136.0,275.0,84.0
23.85,120.76700000000001,1.305,55.0
32.6,129.4,11.5,16.1
33.8,134.2,158.25,34.0
22.97,121.3,12.8,22.0
35.5,136.5,1.305,23.0
35.5,136.8,275.0,70.0
35.4,137.2,105.5,2.0
26.3,126.7,3.95,105.0
35.4,133.0,13.8,12.0
35.35,138.73,-0.000302,57.0
