SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	METHOD	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	CU
TLS-17		GEOROC	CHUNG, SUN-LIN; WANG, KUO-LUNG; CRAWFORD, A. J.; KAMENETSKY, V. S.; CHEN, CHENG-HONG; LAN, CHING-YING; CHEN, CHANG-HWA, 2001		25	120	0.01	0.01	1.305	2.6	ICPMS	IGNEOUS	VOLCANIC	MAFIC	BASALT		33.9
750328-12		GEOROC	IMAOKA, T., 1986		34.5	131.8	0.01	55.8	60.65	65.5	NOT GIVEN	IGNEOUS	PLUTONIC	FELSIC	GRANITE		1
R-BYO		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A.; KOIZUMI, K., 2008		35	136.2	0.01	251	275	299	INAA	IGNEOUS	VOLCANIC	MAFIC	BASALT		66
822-2		GEOROC	SHIRAKI, K.; MIYAMOTO, M.; MATSUO, H.; UEKI, Y.; AZUMA, T.; NAGAO, T.; MATSUMOTO, Y.; TAJIMA, T., 2000		32.6	129.4	0.01	0	11.5	23	XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		71.6
1		GEOROC	NAKADA, S.; KAMATA, H., 1988		32.6908	130.279	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		27
MHY-8		GEOROC	WANG, KUO-LUNG; CHUNG, SUN-LIN; CHEN, CHANG-HWA; CHEN, CHENG-HONG, 2002		25.48	122.1	0.01	0	1.3	2.6	ICPMS	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		36.5
ABU-34		GEOROC	KOYAGUCHI, T., 1986		34	130	0.01	0.01	1.305	2.6	XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		19
KY-104		GEOROC	IMAOKA, T.; NAKASHIMA, K.; KAMEI, A.; ITAYA, T.; OHIRA, T.; NAGASHIMA, M.; KONO, N.; KIJI, M., 2014		34.7	135.3	0.01				XRF	IGNEOUS	PLUTONIC	EXOTIC	LAMPROPHYRE		100
990801-2		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A., 2004		35.1	134.7	0.01				XRF	METAMORPHIC	UNKNOWN	UNKNOWN	METABASALT		31
00082319		GEOROC	ISHIWATARI, A.; IMASAKA, M., 2002		35.2	134.3	0.01				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		24
JF-2B		GEOROC	WATANABE, S.; WIDOM, E.; UI, T.; MIYAJI, N.; ROBERTS, A. M., 2006		35.35	138.73	0.01	-0.000302	-0.000302	-0.000302	DCPAES	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		68
KK11		GEOROC	ONOUE, T.; NAGAI, K.; KAMISHIMA, A.; SENO, M.; SANO, HIROKI, 2004		33.5	134	0.01	65.5	158.25	251	XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		69
FU22		GEOROC	JONES, G.; SANO, HIROKI; VALSAMI-JONES, E., 1993		35	136	0.01	251	275	299	XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		40
DZ26		GEOROC	BRENNA, M.; NAKADA, S.; MIURA, D.; TOSHIDA, K.; ITO, H.; HOKANISHI, N.; NAKAI, S., 2015		36.0745	133.045	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	TRACHYTE		5
T95022		GEOROC	LAI, YU-MING; SONG, SHENG-RONG; IIZUKA, Y., 2008		22.97	121.3	0.01	2.6	12.8	23	ICPMS	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		124
EW910615-1		GEOROC	PALLISTER, J. S.; HOBLITT, R. P.; MEEKER, G. P.; KNIGHT, R. J.; SIEMS, D. F., 1996		15.1892	120.486	0.01	-1.8e-05	-1.8e-05	-1.8e-05	XRF	IGNEOUS	VOLCANIC	FELSIC	DACITE		28
DZ08		GEOROC	BRENNA, M.; NAKADA, S.; MIURA, D.; TOSHIDA, K.; ITO, H.; HOKANISHI, N.; NAKAI, S., 2015		36.1173	133.018	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	TRACHYTE		5
7764-3		GEOROC	IMAOKA, T., 1986		34.5	131.8	0.01	55.8	60.65	65.5	NOT GIVEN	IGNEOUS	VOLCANIC	FELSIC	RHYODACITE		3
TE-10		GEOROC	YUHARA, MASAKI, 1994		35.8	137.9	0.01	99	99	99	NOT GIVEN	IGNEOUS	PLUTONIC	FELSIC	GRANITE		0
LUZ675		GEOROC	EVANS, C. A.; CASTANEDA, G.; FRANCO, H., 1991		15.27	120	0.01				DCPAES	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		34
20		GEOROC	MORRIS, P. A.; ITAYA, T., 1997		35.4	133	0.01	11.6	13.8	16	XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		33
OS-2		GEOROC	STEIN, G.; CHARVET, J.; LAPIERRE, H.; FABBRI, O., 1994		32.2	131.4	0.01				ICPMS	IGNEOUS	VOLCANIC	FELSIC	RHYOLITE		0
F48		GEOROC	YUGE, T.; IMAOKA, T.; IIZUMI, S., 1998		34	130	0.01	87	87	87	NOT GIVEN	IGNEOUS	VOLCANIC	FELSIC	RHYOLITE		1.5
PT26		GEOROC	BERNARD, A.; KNITTEL, U.; WEBER, B. C.; WEIS, D.; ALBRECHT, A.; HATTORI, K.; KLEIN, J.; OLES, D., 1996		15.13	120.35	0.01				XRF	IGNEOUS	VOLCANIC	FELSIC	DACITE		0
20429-1		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A.; KOIZUMI, K., 2008		35.5	136.8	0.01	251	275	299	INAA	IGNEOUS	VOLCANIC	MAFIC	DOLERITE		126
93051815		GEOROC	MASHIMA, H., 2004		33	130	0.01	0	32.75	65.5	XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		30
L51604-3		GEOROC	KUSHENDRATNO, ; PALLISTER, J. S.; KRISTIANTO, ; BINA, F. R.; MCCAUSLAND, W.; CARN, S. A.; HAERANI, N.; GRISWOLD, J.; KEELER, R., 2012		1.358	124.792	0.01				XRF	IGNEOUS	VOLCANIC	FELSIC	DACITE		28
C704		GEOROC	JUANG, WEN-SHING, 1996		24.83	121.33	0.01	5.3	14.15	23	AAS	IGNEOUS	VOLCANIC	MAFIC	THOLEIITE		41
21117-4L		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A., 2005		35.5	136.8	0.01	145.5	173.55	201.6	XRF	IGNEOUS	VOLCANIC	UNKNOWN	PICRITE		48
PIN1		GEOROC	BERNARD, A.; KNITTEL, U.; WEBER, B. C.; WEIS, D.; ALBRECHT, A.; HATTORI, K.; KLEIN, J.; OLES, D., 1996		15.1111	120.308	0.01				XRF	IGNEOUS	VOLCANIC	FELSIC	DACITE		37
07.02.05.07		GEOROC	KIYOSUGI, K.; HORIKAWA, Y.; NAGAO, T.; ITAYA, T.; CONNOR, C. B.; TANAKA, K., 2014		34.5246	131.617	0.01				XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		39
LUZ666F		GEOROC	EVANS, C. A.; CASTANEDA, G.; FRANCO, H., 1991		15.27	120	0.01				DCPAES	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		188
040406-3		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A.; KOIZUMI, K., 2008		34.7	135.6	0.01	251	275	299	INAA	IGNEOUS	VOLCANIC	MAFIC	BASALT		62
29-11		GEOROC	SHIRAKI, K.; MIYAMOTO, M.; MATSUO, H.; UEKI, Y.; AZUMA, T.; NAGAO, T.; MATSUMOTO, Y.; TAJIMA, T., 2000		32.6	129.4	0.01	0	11.5	23	XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		33.1
155		GEOROC	SUDA, Y., 2004		35.2	134.6	0.01	0.01	1.305	2.6	XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	TONALITE		2.5
07.03.07.09		GEOROC	KIYOSUGI, K.; HORIKAWA, Y.; NAGAO, T.; ITAYA, T.; CONNOR, C. B.; TANAKA, K., 2014		34.5246	131.617	0.01				XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		23
81		GEOROC	SUDA, Y., 2004		35.2	134.6	0.01	0.01	1.305	2.6	XRF	METAMORPHIC	UNKNOWN	UNKNOWN	METAGABBRO		5.2
1009		GEOROC	XU, HAIJIN, 1988		36.3	133.3	0.01				XRF	IGNEOUS	VOLCANIC	MAFIC	TRACHYBASALT		32.1
125-2B		GEOROC	SHIRAKI, K.; MIYAMOTO, M.; MATSUO, H.; UEKI, Y.; AZUMA, T.; NAGAO, T.; MATSUMOTO, Y.; TAJIMA, T., 2000		32.6	129.4	0.01	0	11.5	23	XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		36.7
79052609		GEOROC	ISHIHARA, S.; SATO, KOHEI; TERASHIMA, S., 1984		33.5	130.5	0.01	65.5	105.5	145.5	AAS	IGNEOUS	PLUTONIC	FELSIC	MONZOGRANITE		164
96061902		GEOROC	FUJII, H.; TAINOSHO, Y.; KAGAMI, H.; KAKIUCHI, T., 2000		34.5	135.5	0.01				XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	DIORITE		23
JF-9A		GEOROC	WATANABE, S.; WIDOM, E.; UI, T.; MIYAJI, N.; ROBERTS, A. M., 2006		35.35	138.73	0.01	-0.000302	-0.000302	-0.000302	DCPAES	IGNEOUS	PLUTONIC	MAFIC	GABBRO		53
OCEAN06-BBL		PETDB	YAN, Q; CASTILLO, P R; SHI, X; WANG, L; LIAO, L; REN, J, 2015	OCEAN06	17.6483	117.096	0.0001				ICPAES	IGNEOUS	VOLCANIC	MAFIC	BASALT		43.2
OCEAN06-VC-1		PETDB	YAN, Q; CASTILLO, P R; SHI, X; WANG, L; LIAO, L; REN, J, 2015	OCEAN06	17.6483	117.096	0.0001				ICPAES	IGNEOUS	VOLCANIC	MAFIC	BASALT		41.96
